
run 5 ********** ShankarMask **********
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6468 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6469 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6470 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6471 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6472 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6473 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6474 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6475 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6476 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6477 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6478 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6479 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6480 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6481 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6482 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6483 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6484 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6485 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6486 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6487 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6488 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6489 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6490 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6491 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6492 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6493 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6494 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6495 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6496 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6497 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6498 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6499 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6500 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6501 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6502 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6503 False
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6504 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6505 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6506 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6507 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6508 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6509 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6510 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6511 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6512 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6513 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6514 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6515 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6516 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6517 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6518 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6519 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6520 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6521 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6522 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6523 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6524 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6525 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6526 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6527 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6528 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6529 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6530 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6531 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6532 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6533 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6534 True
ShankarMask /media/soham/E/ShankarData/run5/run5_5vto2.7v Image6535 True
