
run 9 ********** ShankarMask **********
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11752 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11753 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11754 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11755 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11756 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11757 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11758 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11759 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11760 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11761 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11762 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11763 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11764 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11765 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11766 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11767 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11768 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11769 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11770 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11771 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11772 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11773 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11774 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11775 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11776 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11777 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11778 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11779 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11780 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11781 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11782 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11783 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11784 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11785 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11786 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11787 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11788 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11789 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11790 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11791 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11792 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11793 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11794 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11795 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11796 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11797 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11798 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11799 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11800 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11801 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11802 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11803 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11804 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11805 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11806 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11807 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11808 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11809 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11810 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11811 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11812 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11813 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11814 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11815 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11816 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11817 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11818 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11819 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11820 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11821 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11822 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11823 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11824 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11825 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11826 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11827 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11828 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11829 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11830 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11831 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11832 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11833 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11834 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11835 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11836 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11837 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11838 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11839 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11840 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11841 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11842 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11843 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11844 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11845 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11846 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11847 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11848 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11849 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11850 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11851 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11852 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11853 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11854 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11855 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11856 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11857 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11858 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11859 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11860 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11861 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11862 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11863 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11864 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11865 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11866 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11867 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11868 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11869 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11870 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11871 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11872 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11873 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11874 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11875 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11876 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11877 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11878 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11879 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11880 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11881 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11882 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11883 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11884 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11885 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11886 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11887 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11888 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11889 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11890 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11891 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11892 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11893 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11894 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11895 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11896 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11897 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11898 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11899 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11900 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11901 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11902 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11903 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11904 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11905 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11906 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11907 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11908 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11909 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11910 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11911 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11912 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11913 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11914 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11915 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11916 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11917 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11918 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11919 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11920 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11921 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11922 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11923 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11924 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11925 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11926 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11927 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11928 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11929 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11930 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11931 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11932 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11933 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11934 True
