
run 13 ********** ShankarMask **********
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26234 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26235 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26236 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26237 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26238 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26239 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26240 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26241 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26242 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26243 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26244 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26245 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26246 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26247 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26248 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26249 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26250 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26251 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26252 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26253 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26254 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26255 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26256 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26257 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26258 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26259 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26260 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26261 True
ShankarMask /media/soham/E/ShankarData/run13/run13_5vto3.7v Image26262 True
